epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.126,1.91945,3.2445,1.66344,0.28024,0.24662,0.26712,0.09884,2.25936,2.93004,1.83562,0.00032963,0.00032963,0.00032963
2,83.885,1.8009,2.07628,1.5492,0.27455,0.54015,0.36716,0.15333,2.18053,5.63244,1.83095,0.000649836,0.000649836,0.000649836
3,123.151,1.7665,1.84257,1.53927,0.58597,0.44571,0.42509,0.18599,2.05261,2.31679,1.77762,0.000956843,0.000956843,0.000956843
4,164.813,1.72056,1.7492,1.5128,0.35331,0.50432,0.42251,0.1998,1.89173,2.33325,1.75482,0.0009406,0.0009406,0.0009406
5,211.643,1.66562,1.69156,1.49006,0.5687,0.47488,0.50404,0.24069,1.86009,1.89463,1.61154,0.0009208,0.0009208,0.0009208
6,252.314,1.61296,1.62149,1.46496,0.40583,0.53393,0.46996,0.22913,1.82478,1.94329,1.64433,0.000901,0.000901,0.000901
7,293.907,1.58105,1.59477,1.43959,0.47294,0.50388,0.52166,0.23947,1.80609,1.89093,1.64064,0.0008812,0.0008812,0.0008812
8,335.696,1.58896,1.5727,1.44691,0.45658,0.61061,0.5619,0.26254,1.73553,1.84835,1.67784,0.0008614,0.0008614,0.0008614
9,374.501,1.55405,1.54446,1.43236,0.63536,0.50867,0.51624,0.22529,1.86717,1.92832,1.65497,0.0008416,0.0008416,0.0008416
10,410.587,1.5358,1.51039,1.41282,0.46955,0.5988,0.57556,0.28393,1.75176,1.80278,1.60466,0.0008218,0.0008218,0.0008218
11,449.079,1.53276,1.52186,1.42214,0.42702,0.53428,0.51143,0.241,1.80137,1.91425,1.71022,0.000802,0.000802,0.000802
12,492.539,1.52293,1.46828,1.40526,0.55076,0.618,0.61077,0.28702,1.74794,1.77769,1.65076,0.0007822,0.0007822,0.0007822
13,529.777,1.50461,1.4866,1.39633,0.56171,0.5182,0.55519,0.26376,1.7451,2.037,1.60722,0.0007624,0.0007624,0.0007624
14,566.837,1.48253,1.40659,1.37957,0.54986,0.60062,0.63466,0.31418,1.69191,1.61934,1.61053,0.0007426,0.0007426,0.0007426
15,605.708,1.49497,1.41856,1.38424,0.53102,0.66664,0.6506,0.31642,1.70375,1.59216,1.55968,0.0007228,0.0007228,0.0007228
16,653.501,1.45782,1.38082,1.37587,0.62716,0.49171,0.52486,0.25755,1.75335,1.9318,1.60998,0.000703,0.000703,0.000703
17,699.537,1.46238,1.3973,1.36503,0.5661,0.56841,0.60579,0.2784,1.77547,1.68895,1.58987,0.0006832,0.0006832,0.0006832
18,745.908,1.45622,1.37768,1.36113,0.72878,0.5319,0.60285,0.28452,1.82628,1.6672,1.60852,0.0006634,0.0006634,0.0006634
19,792.723,1.45879,1.36659,1.35981,0.48404,0.63409,0.61774,0.30462,1.67358,1.76683,1.588,0.0006436,0.0006436,0.0006436
20,841.119,1.42413,1.3437,1.34837,0.62004,0.63124,0.65401,0.32313,1.6492,1.56583,1.58392,0.0006238,0.0006238,0.0006238
21,885.865,1.43606,1.36224,1.35609,0.73491,0.48396,0.57923,0.27728,1.86529,1.76396,1.65095,0.000604,0.000604,0.000604
22,929.745,1.3969,1.31527,1.33724,0.52987,0.60814,0.58752,0.27289,1.82,1.69599,1.64272,0.0005842,0.0005842,0.0005842
23,974.107,1.418,1.31047,1.34383,0.50416,0.61446,0.60397,0.29748,1.73239,1.67811,1.58189,0.0005644,0.0005644,0.0005644
24,1017.44,1.41744,1.32039,1.33852,0.4622,0.64427,0.61187,0.29835,1.6581,1.61602,1.55183,0.0005446,0.0005446,0.0005446
25,1060.39,1.4047,1.31243,1.34274,0.74959,0.56426,0.66982,0.3381,1.61896,1.53539,1.53693,0.0005248,0.0005248,0.0005248
26,1101.9,1.39705,1.30473,1.34097,0.49988,0.56156,0.55366,0.26022,1.78759,1.72561,1.61964,0.000505,0.000505,0.000505
27,1144.07,1.37562,1.27684,1.32719,0.65853,0.56689,0.62795,0.3055,1.76233,1.6074,1.58555,0.0004852,0.0004852,0.0004852
28,1187.46,1.36631,1.24314,1.3117,0.52132,0.62312,0.63776,0.31732,1.67191,1.58577,1.59179,0.0004654,0.0004654,0.0004654
29,1230.34,1.3813,1.28921,1.32386,0.60175,0.61662,0.62915,0.31702,1.62722,1.61547,1.54926,0.0004456,0.0004456,0.0004456
30,1273.5,1.36136,1.25905,1.31271,0.61215,0.60601,0.65365,0.33878,1.62307,1.57361,1.53772,0.0004258,0.0004258,0.0004258
31,1315.22,1.36928,1.25931,1.31437,0.63717,0.63707,0.69094,0.35938,1.58164,1.48817,1.51472,0.000406,0.000406,0.000406
32,1357.68,1.35286,1.24097,1.30696,0.61179,0.62268,0.6587,0.34461,1.5997,1.55191,1.52618,0.0003862,0.0003862,0.0003862
33,1399.63,1.36478,1.24106,1.30739,0.61477,0.58438,0.64405,0.32862,1.66428,1.51224,1.54361,0.0003664,0.0003664,0.0003664
34,1441.39,1.36007,1.23905,1.30933,0.64139,0.6597,0.68996,0.36042,1.62499,1.41322,1.50322,0.0003466,0.0003466,0.0003466
35,1486.57,1.33369,1.22749,1.29446,0.64739,0.64555,0.70008,0.3771,1.56999,1.39105,1.499,0.0003268,0.0003268,0.0003268
36,1531.64,1.35411,1.21495,1.30754,0.69207,0.57115,0.69241,0.36471,1.57661,1.38199,1.50772,0.000307,0.000307,0.000307
37,1574.27,1.32912,1.18534,1.28679,0.5853,0.6684,0.67408,0.34891,1.62793,1.45356,1.52445,0.0002872,0.0002872,0.0002872
38,1616.93,1.33118,1.18571,1.29945,0.6337,0.64757,0.67616,0.35539,1.61456,1.42922,1.5237,0.0002674,0.0002674,0.0002674
39,1659.15,1.32621,1.188,1.29229,0.57845,0.63509,0.66987,0.34376,1.61648,1.45376,1.50957,0.0002476,0.0002476,0.0002476
40,1701.77,1.31449,1.1896,1.28492,0.64118,0.63991,0.67594,0.35505,1.57705,1.46648,1.49715,0.0002278,0.0002278,0.0002278
